listing_id,title,district,property_type,price_hkd,usable_area_sqft,bedrooms,bathrooms,agency,image_url,url,fetched_at
3944273,{誠意推介} 乾淨企理 中層開揚 實用2房大廳 近地鐵,佐敦,金寶樓,16800,407,2,1,中興地產有限公司,https://i1.28hse.com/2026/08/20260801122403603163_thumb.jpg,https://www.28hse.com/rent/apartment/property-3944273,2026-08-02T21:33:05.478720+00:00
3946853,地點極佳 閙巿中世外桃源 自住極品 萬勿錯過,佐敦,煒亨大廈,14800,452,2,,中興地產有限公司,https://i1.28hse.com/2026/07/20260726162217932629_thumb.jpg,https://www.28hse.com/rent/apartment/property-3946853,2026-08-02T21:33:05.478720+00:00
3950318,平地電梯 三房一廳 家具齊全 歡迎學生 近佐敦油麻地站,佐敦,金勳大廈,16500,503,3,1,君皇地產有限公司,https://i1.28hse.com/2026/07/202607282123075951299_thumb.jpg,https://www.28hse.com/rent/apartment/property-3950318,2026-08-02T21:33:05.478720+00:00
3926725,▷高層雅裝𝟮房 光猛多窗◁【金寶樓】3分鐘到佐敦站 近九龍公園,佐敦,金寶樓,17000,407,2,1,駿輝地產專業有限公司,https://i1.28hse.com/2026/07/202607231559151095700_thumb.jpg,https://www.28hse.com/rent/apartment/property-3926725,2026-08-02T21:33:05.478720+00:00
3930732,[百誠大廈] 2房 企理實用 樓下佐敦MTR,佐敦,百誠大廈,16500,468,2,1,順景置業(香港)有限公司,https://i1.28hse.com/2026/08/202608011733154346806_thumb.jpg,https://www.28hse.com/rent/apartment/property-3930732,2026-08-02T21:33:05.478720+00:00
3922122,[金寶樓] 2房 企理實用 2mins到佐敦MTR,佐敦,金寶樓,17000,407,2,1,順景置業(香港)有限公司,https://i1.28hse.com/2026/07/202607311847295250026_thumb.jpg,https://www.28hse.com/rent/apartment/property-3922122,2026-08-02T21:33:05.478720+00:00
3923618,大兩房！高性價比、可做員工宿舍、平地電梯,佐敦,儉德大廈,15000,611,2,1,駿輝地產旺角有限公司,https://i1.28hse.com/2026/07/202607081652372178898_thumb.jpg,https://www.28hse.com/rent/apartment/property-3923618,2026-08-02T21:33:05.478720+00:00
3941782,罕有平地電梯光猛清淨1房合1-2個人住獨立電錶,佐敦,文英樓,8700,850,1,1,金城堡地產,https://i1.28hse.com/2026/07/202607221355102302769_thumb.jpg,https://www.28hse.com/rent/apartment/property-3941782,2026-08-02T21:33:05.478720+00:00
3921034,佐敦近地鐵豪華裝修齊家電拎包入住超大studio,佐敦,鴻運大樓,8800,586,1,1,駿輝地產國際有限公司,https://i1.28hse.com/2026/07/202607212028033536009_thumb.jpg,https://www.28hse.com/rent/apartment/property-3921034,2026-08-02T21:33:05.478720+00:00
3916540,Video有匙罕有3房連露台靚裝 平地電梯 近地鐵 乾濕分離 煤氣煮食沖涼,佐敦,金勳大廈,17000,471,3,1,世紀21廣發,/assets/img/loadingphoto170_125.jpg,https://www.28hse.com/rent/apartment/property-3916540,2026-08-02T21:33:05.478720+00:00
3938224,超大一房一廳！獨立門口！明火煮食！有匙,佐敦,文蔚樓,9000,620,1,1,中興地產有限公司,https://i1.28hse.com/2026/07/202607191253177310857_thumb.jpg,https://www.28hse.com/rent/apartment/property-3938224,2026-08-02T21:33:05.478720+00:00
3931706,3房1廳 高層 市中心 3分鐘到佐敦地鐵站,佐敦,金勳大廈,17000,471,3,1,中興地產有限公司,https://i1.28hse.com/2026/07/202607141536107380871_thumb.jpg,https://www.28hse.com/rent/apartment/property-3931706,2026-08-02T21:33:05.478720+00:00
3936795,"【VR/圖則】2房,全新裝修,全棟翻新大廈,平地電梯,保安,佐敦/柯士甸站",佐敦,炮台街2-8號,14800,410,2,1,小村置業有限公司,https://i1.28hse.com/2026/07/202607181139378185661_thumb.jpg,https://www.28hse.com/rent/apartment/property-3936795,2026-08-02T21:33:05.478720+00:00
3891741,筍盤即走，佐敦勁靚1房，光線極好，鄰近地鐵站,佐敦,寶輝閣,16500,515,1,1,駿輝地產建榮有限公司,https://i1.28hse.com/2026/07/202607130233034017850_thumb.jpg,https://www.28hse.com/rent/apartment/property-3891741,2026-08-02T21:33:05.478720+00:00
3923946,超抵，雅裝2房2廳，景觀開揚，不可養狗，不接受包租或宿舍,佐敦,炮台街2-8號,14500,410,2,1,金國置業,https://i1.28hse.com/2026/07/202607281850377081392_thumb.jpg,https://www.28hse.com/rent/apartment/property-3923946,2026-08-02T21:33:05.478720+00:00
3842495,有匙引看，拎包入住,佐敦,文苑樓,8500,565,1,1,景鴻地產,https://i1.28hse.com/2026/05/202605101116543608072_thumb.jpg,https://www.28hse.com/rent/apartment/property-3842495,2026-08-02T21:33:05.478720+00:00
3930982,一房一廳！大大空間感！超新淨企理！開揚靚景！,佐敦,寶輝閣,16500,515,1,1,駿輝地產旺角有限公司,https://i1.28hse.com/2026/07/202607132050084523725_thumb.jpg,https://www.28hse.com/rent/apartment/property-3930982,2026-08-02T21:33:05.478720+00:00
3928092,2 房 2 廳 佐敦高跌站,佐敦,煒亨大廈,15000,452,2,1,喜居物業(旺角舖),https://i1.28hse.com/2026/07/202607111607077533764_thumb.jpg,https://www.28hse.com/rent/apartment/property-3928092,2026-08-02T21:33:05.478720+00:00
